Engine Size(L),Cylinders,Fuel Consumption Comb (L/100 km),CO2 Emissions(g/km),,Vehicle Class
2,4,10.9,251,,SUV - SMALL
2.3,4,11.2,258,,SUV - SMALL
3.5,6,11.9,274,,FULL-SIZE
3.7,6,11.2,258,,FULL-SIZE
3.5,6,12.8,294,,SUV - STANDARD
2,4,10.1,232,,SPECIAL PURPOSE VEHICLE
3.7,6,12.2,281,,SPECIAL PURPOSE VEHICLE
3.7,6,12.1,278,,SUV - SMALL
2,4,8.9,205,,MID-SIZE
3.7,6,11.3,260,,MID-SIZE
2,4,5.8,133,,MID-SIZE
3.5,6,14.2,327,,SUV - STANDARD
3.5,6,14.4,331,,SUV - STANDARD
3,6,12.7,292,,MID-SIZE
3,6,12.8,294,,MID-SIZE
4.7,8,15.1,347,,SUBCOMPACT
4.7,8,15.2,350,,SUBCOMPACT
3.8,8,14.5,334,,FULL-SIZE
3,6,13,299,,FULL-SIZE
2,4,8.2,189,,SUV - SMALL
2,4,8,184,,SUV - SMALL
2.5,4,8.6,198,,SUV - SMALL
2,4,8.5,196,,SUV - SMALL
2.5,4,9,207,,SUV - SMALL
3.7,6,12.3,283,,SUV - SMALL
3.7,6,12.7,292,,SUV - SMALL
2,4,6.9,159,,COMPACT
2,4,7,161,,COMPACT
2.5,4,7.4,170,,COMPACT
2.5,4,7.2,166,,COMPACT
2.5,4,8,184,,COMPACT
2,4,7,161,,MID-SIZE
2,4,7.1,163,,MID-SIZE
2.5,4,7.7,177,,MID-SIZE
2.5,4,7.2,166,,MID-SIZE
2.5,4,8.1,186,,MID-SIZE
2.5,4,9.6,221,,MINIVAN
2.5,4,9.8,225,,MINIVAN
2.5,4,7.6,175,,MID-SIZE
2.5,4,8.1,186,,MID-SIZE
2.5,4,7.3,168,,MID-SIZE
2,4,10.1,232,,TWO-SEATER
2,4,9.6,221,,TWO-SEATER
2,4,9.9,228,,TWO-SEATER
2,4,8,184,,STATION WAGON - SMALL
2,4,8.9,205,,STATION WAGON - SMALL
1.8,4,9.4,216,,SUBCOMPACT
2,4,9,207,,COMPACT
3.5,6,10.6,244,,SUBCOMPACT
3.5,6,10.5,242,,SUBCOMPACT
3,6,9.9,228,,COMPACT
6.2,8,15.4,354,,SUBCOMPACT
2,4,8.1,186,,SUBCOMPACT
2,4,8.8,202,,SUBCOMPACT
2,4,9.1,209,,COMPACT
3,6,10.5,242,,COMPACT
4.7,8,12.5,288,,COMPACT
5.5,8,13.1,301,,COMPACT
2.1,4,7.4,200,,MID-SIZE
3.5,6,10.2,235,,MID-SIZE
3,6,10.4,239,,MID-SIZE
3.5,6,10.8,248,,STATION WAGON - MID-SIZE
3.5,6,10,230,,SUBCOMPACT
3.5,6,10.2,235,,SUBCOMPACT
4.7,8,11.4,262,,MID-SIZE
4.7,8,11.7,269,,SUBCOMPACT
4.7,8,11.4,262,,SUBCOMPACT
5.5,8,13.3,306,,MID-SIZE
5.5,8,13.3,306,,STATION WAGON - MID-SIZE
5.5,8,18.2,419,,SUV - STANDARD
5.5,8,18.5,426,,SUV - STANDARD
3,6,12,324,,SUV - STANDARD
3,6,14,322,,SUV - STANDARD
4.7,8,15.6,359,,SUV - STANDARD
5.5,8,16.3,375,,SUV - STANDARD
2,4,8.7,200,,SUV - SMALL
2,4,9.4,216,,STATION WAGON - MID-SIZE
2.1,4,8.5,230,,SUV - SMALL
3.5,6,11.2,258,,SUV - SMALL
3,6,10.3,278,,SUV - STANDARD
3,6,12,276,,SUV - STANDARD
4.7,8,14.2,327,,SUV - STANDARD
5.5,8,15.6,359,,SUV - STANDARD
4.7,6,10.8,248,,MID-SIZE
4.7,8,12.3,283,,COMPACT
4.7,8,12.5,288,,FULL-SIZE
4.7,8,12.2,281,,MID-SIZE
6,12,14.9,343,,FULL-SIZE
5.5,8,13.2,304,,FULL-SIZE
5.5,8,13.2,304,,COMPACT
6,12,15.5,357,,FULL-SIZE
6,12,15,345,,COMPACT
4.7,8,11.9,274,,TWO-SEATER
5.5,8,12.4,285,,TWO-SEATER
6,12,14.2,327,,TWO-SEATER
1.8,4,9,207,,TWO-SEATER
1.8,4,9,207,,TWO-SEATER
3.5,6,9.8,225,,TWO-SEATER
5.5,8,10.6,244,,TWO-SEATER
6.2,8,15.6,359,,TWO-SEATER
6.2,8,15.6,359,,TWO-SEATER
1.5,3,7.5,172,,SUBCOMPACT
1.5,3,7.1,163,,SUBCOMPACT
1.5,3,7.5,172,,SUBCOMPACT
1.5,3,7.2,166,,SUBCOMPACT
1.6,4,7.7,177,,MINICOMPACT
1.6,4,7.5,172,,MINICOMPACT
1.6,4,8.7,200,,COMPACT
1.6,4,7.5,172,,COMPACT
1.6,4,7.6,175,,TWO-SEATER
1.6,4,7.3,168,,TWO-SEATER
1.6,4,8.7,200,,COMPACT
1.6,4,7.5,172,,COMPACT
1.6,4,7.7,177,,TWO-SEATER
1.6,4,7.5,172,,TWO-SEATER
2,4,8.2,189,,SUBCOMPACT
2,4,8.6,198,,SUBCOMPACT
2,4,8.2,189,,SUBCOMPACT
2,4,8.6,198,,SUBCOMPACT
1.6,4,8.1,186,,MINICOMPACT
1.6,4,8.1,186,,MINICOMPACT
1.6,4,9,207,,COMPACT
1.6,4,8.7,200,,COMPACT
1.6,4,8.1,186,,TWO-SEATER
1.6,4,8.1,186,,TWO-SEATER
1.6,4,9,207,,COMPACT
1.6,4,8.7,200,,COMPACT
1.6,4,8.1,186,,TWO-SEATER
1.6,4,8.1,186,,TWO-SEATER
2,4,8.4,193,,SUBCOMPACT
2,4,9.2,212,,SUBCOMPACT
1.6,4,8.1,186,,MINICOMPACT
1.6,4,8.1,186,,MINICOMPACT
1.6,4,9,207,,COMPACT
1.6,4,8.7,200,,COMPACT
1.6,4,8.1,186,,TWO-SEATER
1.6,4,8.1,186,,TWO-SEATER
1.6,4,9,207,,COMPACT
1.6,4,8.7,200,,COMPACT
1.6,4,8.1,186,,TWO-SEATER
1.6,4,8.1,186,,TWO-SEATER
2,4,8.2,189,,COMPACT
2,4,8.4,193,,COMPACT
2.4,4,9.5,219,,COMPACT
2,4,12.5,288,,COMPACT
2,4,12.3,283,,COMPACT
2,4,11.6,267,,COMPACT
2,4,8.6,198,,STATION WAGON - SMALL
2,4,8.6,198,,STATION WAGON - SMALL
1.2,3,5.9,136,,COMPACT
1.2,3,6.4,147,,COMPACT
2.4,4,8.6,198,,SUV - SMALL
2.4,4,9.1,209,,SUV - SMALL
3,6,10.1,232,,SUV - SMALL
2,4,8.4,193,,SUV - SMALL
2,4,8.8,202,,SUV - SMALL
2,4,8.8,202,,SUV - SMALL
2.4,4,9.6,221,,SUV - SMALL
3.7,6,11.1,255,,TWO-SEATER
3.7,6,11.5,264,,TWO-SEATER
3.7,6,11.5,264,,TWO-SEATER
3.7,6,11.8,271,,TWO-SEATER
2.5,4,7.6,175,,MID-SIZE
3.5,6,9,207,,MID-SIZE
5.6,8,16.6,382,,SUV - STANDARD
2.5,4,12.3,283,,PICKUP TRUCK - SMALL
2.5,4,11.3,260,,PICKUP TRUCK - SMALL
4,6,12.7,292,,PICKUP TRUCK - SMALL
4,6,13.7,315,,PICKUP TRUCK - SMALL
4,6,13.3,306,,PICKUP TRUCK - SMALL
3.8,6,12.6,290,,SUBCOMPACT
1.6,4,7.9,182,,STATION WAGON - SMALL
1.6,4,7.7,177,,STATION WAGON - SMALL
1.6,4,8.2,189,,STATION WAGON - SMALL
1.6,4,8.3,191,,STATION WAGON - SMALL
1.6,4,8.8,202,,STATION WAGON - SMALL
1.6,4,7.8,179,,COMPACT
1.6,4,7.7,177,,COMPACT
3.5,6,9.8,225,,STATION WAGON - MID-SIZE
3.5,6,9.9,228,,STATION WAGON - MID-SIZE
2,4,9.4,216,,SPECIAL PURPOSE VEHICLE
3.5,6,10.4,239,,SUV - SMALL
3.5,6,10.7,246,,SUV - SMALL
3.5,6,11,253,,SUV - SMALL
2.5,4,8.8,202,,SUV - STANDARD
3.5,6,10.5,242,,MINIVAN
2.5,4,8.3,191,,SUV - SMALL
2.5,4,8.5,196,,SUV - SMALL
5.6,8,16.1,370,,PICKUP TRUCK - STANDARD
5.6,8,17.2,396,,PICKUP TRUCK - STANDARD
1.8,4,7.2,166,,MID-SIZE
1.8,4,7.9,182,,MID-SIZE
1.6,4,6.8,156,,COMPACT
1.6,4,7.7,177,,COMPACT
4,6,14.2,327,,SUV - SMALL
4,6,14.4,331,,SUV - SMALL
3.4,6,10.1,232,,MINICOMPACT
3.4,6,10.6,244,,MINICOMPACT
3.4,6,10.1,232,,MINICOMPACT
3.4,6,10.7,246,,MINICOMPACT
3.4,6,10.2,235,,MINICOMPACT
3.4,6,10.7,246,,MINICOMPACT
3.4,6,10.5,242,,MINICOMPACT
3.4,6,10.9,251,,MINICOMPACT
3.8,6,11.1,255,,MINICOMPACT
3.8,6,11.3,260,,MINICOMPACT
3.8,6,11.4,262,,MINICOMPACT
3.8,6,11.6,267,,MINICOMPACT
3.8,6,10.7,246,,MINICOMPACT
3.8,6,11,253,,MINICOMPACT
3.8,6,11,253,,MINICOMPACT
3.8,6,11.2,258,,MINICOMPACT
3.8,6,11,253,,MINICOMPACT
3.8,6,11.2,258,,MINICOMPACT
3.8,6,11.1,255,,MINICOMPACT
3.8,6,11.6,267,,MINICOMPACT
3.8,6,10.5,242,,MINICOMPACT
3.8,6,10.7,246,,MINICOMPACT
3.8,6,10.6,244,,MINICOMPACT
3.8,6,10.9,251,,MINICOMPACT
3.8,6,14,322,,TWO-SEATER
3.4,6,10.8,248,,MINICOMPACT
3.4,6,11.1,255,,MINICOMPACT
3.8,6,11.2,258,,MINICOMPACT
3.8,6,11.4,262,,MINICOMPACT
3.8,6,11.9,274,,MINICOMPACT
3.8,6,11.9,274,,MINICOMPACT
3.8,6,11.9,274,,MINICOMPACT
3.8,6,11.9,274,,MINICOMPACT
2.7,6,9.2,212,,TWO-SEATER
2.7,6,9.9,228,,TWO-SEATER
3.4,6,9.5,218,,TWO-SEATER
3.4,6,10.7,246,,TWO-SEATER
3.4,6,9.8,225,,TWO-SEATER
3.4,6,10.4,239,,TWO-SEATER
3,6,10.2,277,,SUV - STANDARD
3.6,6,12.2,286,,SUV - STANDARD
4.8,8,14.2,327,,SUV - STANDARD
2.7,6,9.2,212,,TWO-SEATER
2.7,6,9.9,228,,TWO-SEATER
3.4,6,9.5,218,,TWO-SEATER
3.4,6,10.7,246,,TWO-SEATER
3.4,6,9.8,225,,TWO-SEATER
3.4,6,10.4,239,,TWO-SEATER
3,6,12.2,281,,SUV - SMALL
3.6,6,12.3,283,,SUV - SMALL
3.6,6,10.9,251,,FULL-SIZE
3.6,6,11.1,255,,FULL-SIZE
3,6,11.4,262,,FULL-SIZE
3,6,11.5,264,,FULL-SIZE
4.8,8,12.7,292,,FULL-SIZE
3,6,11.4,262,,FULL-SIZE
4.8,8,12.8,294,,FULL-SIZE
4.8,8,12.9,297,,FULL-SIZE
4.8,8,12.8,294,,FULL-SIZE
4.8,8,12.9,297,,FULL-SIZE
3.6,6,11.9,274,,PICKUP TRUCK - STANDARD
3.6,6,11.9,274,,PICKUP TRUCK - STANDARD
3.6,6,16.8,269,,PICKUP TRUCK - STANDARD
3.6,6,11.3,260,,PICKUP TRUCK - STANDARD
5.7,8,14.8,340,,PICKUP TRUCK - STANDARD
5.7,8,13.6,313,,PICKUP TRUCK - STANDARD
3,6,10.1,273,,PICKUP TRUCK - STANDARD
3,6,9.8,265,,PICKUP TRUCK - STANDARD
3.6,6,12.6,290,,PICKUP TRUCK - STANDARD
3.6,6,12.6,290,,PICKUP TRUCK - STANDARD
3.6,6,17.8,285,,PICKUP TRUCK - STANDARD
5.7,8,15.4,354,,PICKUP TRUCK - STANDARD
5.7,8,14.1,324,,PICKUP TRUCK - STANDARD
3,6,10.6,286,,PICKUP TRUCK - STANDARD
3.6,6,11.4,262,,MINIVAN
3.6,6,15.9,254,,MINIVAN
2.4,4,9.8,225,,SPECIAL PURPOSE VEHICLE
6.6,12,16.1,370,,FULL-SIZE
6.6,12,16.1,370,,FULL-SIZE
6.7,12,17.2,396,,FULL-SIZE
6.7,12,17.2,396,,FULL-SIZE
6.7,12,17.2,396,,COMPACT
6.7,12,17.2,396,,COMPACT
6.6,12,15.6,359,,MID-SIZE
2,4,8.4,193,,MINICOMPACT
2,4,9.6,221,,MINICOMPACT
1.3,4,6.4,147,,MINICOMPACT
2.5,4,9,207,,COMPACT
2.5,4,9,207,,COMPACT
2.4,4,9.8,225,,STATION WAGON - SMALL
2.4,4,9.8,225,,STATION WAGON - SMALL
1,3,6.5,150,,TWO-SEATER
1,3,6.5,150,,TWO-SEATER
2,4,8.4,193,,MINICOMPACT
2,4,9.6,221,,MINICOMPACT
2,4,9.4,216,,SUV - SMALL
2.5,4,8.7,200,,SUV - SMALL
2.5,4,9.6,221,,SUV - SMALL
2,4,7.6,175,,COMPACT
2,4,8.4,193,,COMPACT
2,4,7.6,175,,STATION WAGON - SMALL
2,4,8.4,193,,STATION WAGON - SMALL
2.5,4,7.9,182,,MID-SIZE
2.5,4,9.4,216,,MID-SIZE
3.6,6,10.2,235,,MID-SIZE
2.5,4,8.3,191,,SUV - SMALL
2.5,4,9.7,223,,SUV - SMALL
3.6,6,10.5,242,,SUV - SMALL
2,4,11.1,255,,COMPACT
2,4,9.8,225,,COMPACT
2.5,4,12.2,281,,COMPACT
2,4,8.1,186,,SUV - SMALL
2,4,9.1,209,,SUV - SMALL
2,4,7.5,173,,SUV - SMALL
4,6,12.8,294,,SUV - STANDARD
4,6,12.8,294,,SUV - STANDARD
3.5,6,9.6,221,,MID-SIZE
2.5,4,8.4,193,,MID-SIZE
3.5,6,9.5,218,,MID-SIZE
2.5,4,5.7,131,,MID-SIZE
2.5,4,5.9,136,,MID-SIZE
1.8,4,7.6,175,,MID-SIZE
1.8,4,7.1,163,,MID-SIZE
1.8,4,7.3,168,,MID-SIZE
1.8,4,7.4,170,,MID-SIZE
1.8,4,6.8,156,,MID-SIZE
1.8,4,6.9,159,,MID-SIZE
2.7,4,10.7,246,,SUV - SMALL
3.5,6,11.1,255,,SUV - SMALL
3.5,6,11.6,267,,SUV - STANDARD
3.5,6,8.5,196,,SUV - STANDARD
3.5,6,8.4,193,,SUV - STANDARD
1.8,4,4.7,108,,MID-SIZE
1.5,4,4.8,110,,COMPACT
1.8,4,5.6,129,,STATION WAGON - MID-SIZE
2.5,4,8.9,205,,SUV - SMALL
2.5,4,9.5,218,,SUV - SMALL
2.5,4,8.9,205,,SUV - SMALL
2.5,4,9.6,221,,SUV - SMALL
5.7,8,16.6,382,,SUV - STANDARD
3.5,6,11.4,262,,MINIVAN
3.5,6,12.5,288,,MINIVAN
2.7,4,11.2,258,,PICKUP TRUCK - SMALL
2.7,4,10.5,242,,PICKUP TRUCK - SMALL
4,6,13.1,301,,PICKUP TRUCK - SMALL
2.7,4,12.3,283,,PICKUP TRUCK - SMALL
2.7,4,12.3,283,,PICKUP TRUCK - SMALL
4,6,13.4,308,,PICKUP TRUCK - SMALL
4,6,14,322,,PICKUP TRUCK - SMALL
4.6,8,14.3,329,,PICKUP TRUCK - STANDARD
5.7,8,15.2,350,,PICKUP TRUCK - STANDARD
4.6,8,15.1,347,,PICKUP TRUCK - STANDARD
5.7,8,16.6,382,,PICKUP TRUCK - STANDARD
2.7,4,10.4,239,,SUV - SMALL
3.5,6,10.9,251,,SUV - SMALL
2.7,4,10.5,242,,SUV - SMALL
3.5,6,11.3,260,,SUV - SMALL
1.5,4,7.3,168,,COMPACT
1.5,4,7.1,163,,COMPACT
1.8,4,8.5,196,,COMPACT
1.8,4,8.7,200,,COMPACT
2,4,9.1,209,,COMPACT
2,4,9.2,212,,COMPACT
2,4,6.9,183,,COMPACT
2,4,6.9,184,,COMPACT
1.8,4,8.7,200,,SUBCOMPACT
2,4,9.4,216,,SUBCOMPACT
2,4,9.2,212,,SUBCOMPACT
2,4,9.3,214,,COMPACT
2,4,9.6,221,,COMPACT
3.6,6,11.8,271,,COMPACT
2,4,9.5,219,,SUBCOMPACT
1.8,4,8.1,186,,COMPACT
1.8,4,8,184,,COMPACT
2,4,6.5,177,,COMPACT
2,4,6.5,178,,COMPACT
2,4,8.5,196,,COMPACT
2,4,8.3,191,,COMPACT
1.8,4,8.2,193,,STATION WAGON - SMALL
1.8,4,8.2,189,,STATION WAGON - SMALL
2,4,6.7,180,,STATION WAGON - SMALL
2,4,6.7,179,,STATION WAGON - SMALL
1.8,4,7.9,182,,COMPACT
1.8,4,8,184,,COMPACT
2,4,8.9,205,,COMPACT
2,4,8.4,193,,COMPACT
2,4,6.5,175,,COMPACT
2,4,6.5,176,,COMPACT
2,4,8.8,202,,COMPACT
2,4,8.9,205,,COMPACT
1.4,4,5.3,122,,COMPACT
1.8,4,8.3,191,,MID-SIZE
1.8,4,8.4,193,,MID-SIZE
2,4,6.9,185,,MID-SIZE
2,4,6.7,182,,MID-SIZE
3.6,6,10.4,239,,MID-SIZE
2,4,10.5,242,,SUV - SMALL
2,4,11.2,258,,SUV - SMALL
2,4,10.7,246,,SUV - SMALL
3.6,6,12.4,292,,SUV - STANDARD
3,6,10.2,277,,SUV - STANDARD
3,6,11,253,,COMPACT
2,4,8.4,193,,COMPACT
2.5,5,10.1,232,,COMPACT
2,4,8.9,205,,COMPACT
3,6,11.2,258,,COMPACT
2,4,8.4,193,,MID-SIZE
3,6,11.2,258,,MID-SIZE
2,4,8.8,202,,SUV - SMALL
2.5,5,10.3,237,,SUV - SMALL
3,6,11,253,,STATION WAGON - SMALL
2,4,8.4,193,,STATION WAGON - SMALL
2.5,5,10.1,232,,STATION WAGON - SMALL
3,6,11.2,258,,STATION WAGON - SMALL
3.2,6,11.5,264,,SUV - SMALL
2,4,8.8,202,,SUV - SMALL
2.5,5,11.4,262,,SUV - SMALL
2,4,9.4,216,,SUV - SMALL
3,6,11.9,274,,SUV - SMALL
3.2,6,11.3,260,,SUV - SMALL
2,4,8.8,202,,SUV - SMALL
3,6,11.9,274,,SUV - SMALL
2.4,4,8.1,189,,COMPACT
3.5,6,11.1,254,,SUV - SMALL
3.5,6,10.7,251,,SUV - SMALL
3.5,6,10.7,249,,SUV - SMALL
3.5,6,10,235,,MID-SIZE
3.5,6,7.7,180,,MID-SIZE
2.4,4,8.3,196,,COMPACT
3.5,6,9.6,226,,COMPACT
1.8,4,8.4,197,,TWO-SEATER
5.9,12,15.6,365,,MINICOMPACT
6,12,14.2,332,,SUBCOMPACT
6,12,14.8,346,,MINICOMPACT
4.7,8,14.7,343,,TWO-SEATER
4.7,8,15.5,362,,TWO-SEATER
4.7,8,14.7,343,,TWO-SEATER
4.7,8,15.5,362,,TWO-SEATER
4.7,8,14.7,343,,TWO-SEATER
4.7,8,15.5,362,,TWO-SEATER
6,12,16.5,390,,TWO-SEATER
1.8,4,8.7,204,,SUBCOMPACT
2,4,8.6,201,,SUBCOMPACT
2,4,8.9,208,,SUBCOMPACT
2,4,8.9,212,,COMPACT
2,4,9.6,224,,COMPACT
2,4,9.1,214,,COMPACT
2,4,9.9,232,,STATION WAGON - SMALL
2,4,9.6,224,,SUBCOMPACT
2,4,9.1,214,,SUBCOMPACT
2,4,9.8,230,,SUBCOMPACT
2,4,9.2,211,,MID-SIZE
3,6,9.9,232,,MID-SIZE
3,6,7.8,213,,MID-SIZE
3,6,9.9,232,,MID-SIZE
3,6,7.8,213,,MID-SIZE
3,6,10.5,247,,MID-SIZE
4,8,10.7,249,,MID-SIZE
3,6,8.4,224,,MID-SIZE
4,8,10.9,255,,FULL-SIZE
6.3,12,14.6,344,,FULL-SIZE
2,4,10.3,242,,COMPACT
2,4,10.3,240,,COMPACT
2,4,10.4,244,,SUV - SMALL
3,6,11.4,267,,SUV - SMALL
3,6,9,244,,SUV - SMALL
2,4,8.9,209,,SUV - SMALL
4,8,13.3,313,,MID-SIZE
2,4,9,211,,SUBCOMPACT
3,6,11,257,,COMPACT
3,6,11.7,273,,COMPACT
3,6,11,257,,SUBCOMPACT
3,6,11.7,273,,SUBCOMPACT
3,6,11.4,266,,SUBCOMPACT
4,8,11.3,263,,MID-SIZE
4,8,11.4,265,,MID-SIZE
4,8,12.8,300,,MID-SIZE
3,6,12.2,285,,SUV - SMALL
2,4,9.1,209,,SUBCOMPACT
2,4,9.1,209,,TWO-SEATER
2,4,9.5,222,,SUBCOMPACT
4,8,13.1,307,,COMPACT
6,12,15.4,360,,COMPACT
4,8,14.4,337,,SUBCOMPACT
6,12,16,375,,SUBCOMPACT
4,8,14.2,334,,MID-SIZE
6,12,16.5,388,,MID-SIZE
6.8,8,17.5,408,,MID-SIZE
2,4,8.4,197,,SUBCOMPACT
2,4,9,211,,SUBCOMPACT
2,4,8.8,207,,SUBCOMPACT
2,4,8.9,209,,SUBCOMPACT
2,4,8.4,197,,COMPACT
2,4,9,211,,COMPACT
2,4,8.8,207,,COMPACT
2,4,6.8,183,,COMPACT
2,4,6.8,183,,STATION WAGON - SMALL
2,4,8.9,209,,COMPACT
2,4,8.9,209,,FULL-SIZE
2,4,8.9,209,,STATION WAGON - SMALL
3,6,10.2,238,,FULL-SIZE
3,6,9.3,217,,COMPACT
3,6,9.9,231,,COMPACT
3,6,9.3,216,,COMPACT
3,6,10.3,241,,COMPACT
2,4,8.9,211,,SUBCOMPACT
2,4,8.4,197,,COMPACT
2,4,9,211,,COMPACT
2,4,8.9,211,,COMPACT
2,4,9,210,,COMPACT
2,4,9.4,221,,SUBCOMPACT
2,4,8.9,209,,COMPACT
2,4,8.9,209,,COMPACT
3,6,9.9,232,,SUBCOMPACT
3,6,9.9,232,,COMPACT
3,6,10.5,246,,COMPACT
3,6,10.2,238,,SUBCOMPACT
3,6,10.2,238,,COMPACT
3,6,10.5,247,,COMPACT
3,6,10.2,238,,COMPACT
2,4,8.9,209,,MID-SIZE
3,6,7.9,212,,MID-SIZE
3,6,10.2,238,,MID-SIZE
3,6,11.2,263,,FULL-SIZE
4.4,8,12.3,288,,MID-SIZE
4.4,8,12.1,283,,FULL-SIZE
3,6,10.2,238,,SUBCOMPACT
3,6,10.2,238,,COMPACT
4.4,8,12.1,283,,SUBCOMPACT
4.4,8,12.3,288,,COMPACT
4.4,8,12.1,283,,COMPACT
4.4,8,12.1,283,,FULL-SIZE
4.4,8,12.1,283,,FULL-SIZE
3,6,9.4,219,,MID-SIZE
4.4,8,12.1,283,,COMPACT
3,6,10.4,244,,SUBCOMPACT
3,6,11.1,260,,SUBCOMPACT
3,6,9.9,232,,SUBCOMPACT
3,6,10.4,245,,SUBCOMPACT
3,6,9.9,232,,SUBCOMPACT
3,6,10.5,246,,SUBCOMPACT
3,6,10.2,238,,SUBCOMPACT
3,6,10.2,238,,SUBCOMPACT
3,6,12.1,284,,COMPACT
3,6,11.6,271,,COMPACT
3,6,12.1,282,,SUBCOMPACT
3,6,11.8,278,,SUBCOMPACT
3,6,12.1,284,,COMPACT
3,6,11.6,271,,COMPACT
4.4,8,14.7,344,,MID-SIZE
4.4,8,13.7,321,,MID-SIZE
4.4,8,14.7,344,,COMPACT
4.4,8,13.7,321,,COMPACT
4.4,8,14.7,344,,SUBCOMPACT
4.4,8,13.7,321,,SUBCOMPACT
4.4,8,14.7,344,,COMPACT
4.4,8,13.7,321,,COMPACT
2,4,9.2,215,,SUV - SMALL
2,4,7.9,211,,SUV - SMALL
2,4,9.9,231,,SUV - SMALL
3,6,10.9,257,,SUV - SMALL
3,6,11.3,264,,SUV - SMALL
2,4,10.2,238,,SUV - SMALL
3,6,10.9,257,,SUV - SMALL
4.4,8,14.6,343,,SUV - STANDARD
3,6,8.9,233,,SUV - STANDARD
3,6,11.5,269,,SUV - STANDARD
4.4,8,13.8,322,,SUV - STANDARD
4.4,8,14.6,343,,SUV - STANDARD
3,6,11.5,269,,SUV - STANDARD
4.4,8,13.8,322,,SUV - STANDARD
2,4,9.1,212,,TWO-SEATER
2,4,9,211,,TWO-SEATER
3,6,12.1,282,,TWO-SEATER
3,6,12.1,282,,TWO-SEATER
3.6,6,13.4,315,,SUV - STANDARD
3.6,6,13.7,323,,SUV - STANDARD
1.4,4,8.5,199,,SUV - SMALL
1.4,4,9.2,215,,SUV - SMALL
1.4,4,7.8,182,,SUV - SMALL
1.4,4,8.2,192,,SUV - SMALL
2,4,10.6,248,,SUV - SMALL
3.6,6,11.4,268,,MID-SIZE
3.6,6,15.8,260,,MID-SIZE
2.4,4,8.2,193,,MID-SIZE
3.6,6,11.7,274,,MID-SIZE
3.6,6,15.8,263,,MID-SIZE
2,4,9.8,231,,MID-SIZE
2,4,9.8,230,,MID-SIZE
2.4,4,8.2,193,,MID-SIZE
2,4,10.7,252,,MID-SIZE
2,4,9.8,231,,COMPACT
2,4,9.8,230,,COMPACT
2.4,4,9.6,224,,COMPACT
2,4,9.2,215,,COMPACT
2,4,10.3,240,,COMPACT
2.5,4,9.1,214,,COMPACT
3.6,6,9.9,233,,COMPACT
2,4,9.4,221,,COMPACT
3.6,6,10.5,247,,COMPACT
3.6,6,12.5,293,,COMPACT
3.6,6,12.4,289,,COMPACT
2,4,9.5,222,,FULL-SIZE
3,6,11.2,263,,FULL-SIZE
3.6,6,11,257,,FULL-SIZE
2,4,9.5,221,,MID-SIZE
3.6,6,9.9,233,,MID-SIZE
2,4,9.8,229,,MID-SIZE
3.6,6,10.5,247,,MID-SIZE
3.6,6,12.5,293,,MID-SIZE
6.2,8,14.1,332,,MID-SIZE
6.2,8,13.9,325,,SUV - STANDARD
3.6,6,12.3,287,,SUV - STANDARD
3.6,6,12.8,300,,SUV - STANDARD
3.6,6,11.3,263,,FULL-SIZE
3.6,6,11.6,273,,FULL-SIZE
3.6,6,12.8,302,,FULL-SIZE
2,4,9.3,218,,COMPACT
2,4,9.8,229,,COMPACT
3.6,6,10.6,248,,COMPACT
3.6,6,11.2,261,,COMPACT
6.2,8,11.6,272,,COMPACT
6.2,8,12.1,284,,COMPACT
2,4,9.4,220,,SPECIAL PURPOSE VEHICLE
2.5,4,10.5,247,,PICKUP TRUCK - SMALL
2.5,4,10.8,253,,PICKUP TRUCK - SMALL
2.8,4,9.4,252,,PICKUP TRUCK - SMALL
3.6,6,11.3,265,,PICKUP TRUCK - SMALL
2.5,4,11.3,265,,PICKUP TRUCK - SMALL
2.8,4,10.3,277,,PICKUP TRUCK - SMALL
3.6,6,11.9,279,,PICKUP TRUCK - SMALL
6.2,8,11.7,275,,TWO-SEATER
6.2,8,11.2,263,,TWO-SEATER
6.2,8,14.3,335,,TWO-SEATER
6.2,8,13.4,313,,TWO-SEATER
1.4,4,6.8,159,,COMPACT
1.4,4,7.1,167,,COMPACT
1.4,4,6.9,160,,COMPACT
1.4,4,7.8,184,,MID-SIZE
1.4,4,7.8,182,,MID-SIZE
1.8,4,8.8,207,,MID-SIZE
1.8,4,8.1,190,,MID-SIZE
1.4,4,7.7,181,,MID-SIZE
1.4,4,7.1,167,,MID-SIZE
2.4,4,9.1,214,,SUV - SMALL
3.6,6,12.1,285,,SUV - SMALL
2.4,4,9.1,214,,SUV - SMALL
2.4,4,13.4,221,,SUV - SMALL
2.4,4,10,235,,SUV - SMALL
3.6,6,12.8,300,,SUV - SMALL
2.4,4,10,235,,SUV - SMALL
2.4,4,14.2,236,,SUV - SMALL
6,8,18.8,441,,VAN - PASSENGER
6,8,19.8,465,,VAN - PASSENGER
2.5,4,9.2,215,,FULL-SIZE
3.6,6,10.6,248,,FULL-SIZE
3.6,6,14.5,239,,FULL-SIZE
3.6,6,11.9,272,,MID-SIZE
3.6,6,12.7,213,,MID-SIZE
1.5,4,7.6,179,,MID-SIZE
2,4,9,211,,MID-SIZE
2.5,4,8.6,202,,MID-SIZE
1.8,4,5.1,122,,MID-SIZE
